seed\pick,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1,0.250,0.215,0.178,0.357,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,0.199,0.188,0.171,0.319,0.123,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,0.156,0.157,0.156,0.226,0.265,0.040,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,0.119,0.126,0.133,0.099,0.351,0.160,0.012,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5,0.088,0.097,0.107,0.000,0.261,0.360,0.084,0.004,0.000,0.000,0.000,0.000,0.000,0.000
6,0.063,0.071,0.081,0.000,0.000,0.439,0.305,0.040,0.001,0.000,0.000,0.000,0.000,0.000
7,0.043,0.049,0.058,0.000,0.000,0.000,0.599,0.232,0.018,0.000,0.000,0.000,0.000,0.000
8,0.028,0.033,0.039,0.000,0.000,0.000,0.000,0.724,0.168,0.008,0.000,0.000,0.000,0.000
9,0.017,0.020,0.024,0.000,0.000,0.000,0.000,0.000,0.813,0.122,0.004,0.000,0.000,0.000
10,0.011,0.013,0.016,0.000,0.000,0.000,0.000,0.000,0.000,0.870,0.089,0.002,0.000,0.000
11,0.008,0.009,0.012,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.907,0.063,0.001,0.000
12,0.007,0.008,0.010,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.935,0.039,0.000
13,0.006,0.007,0.009,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.960,0.018
14,0.005,0.006,0.007,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.982
