A&M-Corpus Christi,26172,"Corpus Christi,  TX",-97.403564,27.796410,15
Abilene Christian,2,"Abilene,  TX",-99.741424,32.449175,529
Academy of Art,30123,"San Francisco,  CA",-122.419644,37.777125,21
Adams St.,929,"Alamosa,  CO",-105.873599,37.468180,2301
Adelphi,3,"Garden City,  NY",-73.636909,40.726050,28
Adrian,4,"Adrian,  MI",-84.036269,41.897275,240
Agnes Scott,11324,"Decatur,  GA",-84.296589,33.774021,322
Air Force,721,"USAF Academy,  CO",-105.550964,38.997921,2212
Akron,5,"Akron,  OH",-81.514059,41.084195,302
Ala.-Huntsville,10,"Huntsville,  AL",-86.584979,34.729135,203
Alabama,8,"Tuscaloosa,  AL",-87.566214,33.210435,69
Alabama A&M,6,"Normal,  AL",-86.572083,34.790981,221
Alabama St.,7,"Montgomery,  AL",-86.300629,32.380120,77
Alas. Anchorage,11,"Anchorage,  AK",-149.858384,61.217550,
Alas. Fairbanks,12,"Fairbanks,  AK",-147.722059,64.845085,
Albany (NY),14,"Albany,  NY",-73.755254,42.651445,41
Albany St. (GA),13,"Albany,  GA",-84.156009,31.580760,67
Albertus Magnus,2798,"New Haven,  CT",-72.924979,41.307130,19
Albion,15,"Albion,  MI",-84.753039,42.246650,291
Albright,16,"Reading,  PA",-75.927843,40.336585,91
Alcorn St.,17,"Alcorn State,  MS",-91.130501,31.882690,86
Alderson-Broaddus,934,"Philippi,  WV",-80.041039,39.153085,400
Alfred,18,"Alfred,  NY",-77.789635,42.256152,529
Allegheny,19,"Meadville,  PA",-80.151438,41.636488,341
Alma,21,"Alma,  MI",-84.657034,43.378970,224
Alvernia,938,"Reading,  PA",-75.927843,40.336585,91
Alverno,28746,"Milwaukee,  WI",-87.906844,43.041810,198
American,23,"Washington,  DC",-77.031959,38.890370,13
American (PR),1466,"Bayamon,  PR",-66.147379,18.394095,
American Intl,22,"Springfield,  MA",-72.589294,42.101250,26
Amherst,24,"Amherst,  MA",-72.533204,42.370772,53
Anderson (IN),939,"Anderson,  IN",-85.678689,40.102165,269
Anderson (SC),13028,"Anderson,  SC",-82.649579,34.500440,245
Angelo St.,25,"San Angelo,  TX",-100.442424,31.461500,563
Anna Maria,26,"Paxton,  MA",-71.929025,42.312465,354
Appalachian St.,27,"Boone,  NC",-81.686965,36.220364,1002
Arcadia,966,"Glenside,  PA",-75.151064,40.102215,88
Arizona,29,"Tucson,  AZ",-110.969754,32.221553,732
Arizona St.,28,"Tempe,  AZ",-111.937419,33.425510,366
Ark.-Fort Smith,30105,"Fort Smith,  AR",-94.421299,35.384600,133
Ark.-Monticello,8411,"Monticello,  AR",-91.790974,33.627780,91
Ark.-Pine Bluff,2678,"Pine Bluff,  AR",-92.003399,34.223535,74
Arkansas,31,"Fayetteville,  AR",-94.157914,36.063205,429
Arkansas St.,30,"State University,  AR",-92.130550,34.751900,73
Arkansas Tech,947,"Russellville,  AR",-93.134825,35.278270,109
Armstrong Atlantic,33,"Savannah,  GA",-81.090719,32.080780,4
