year,team,strength,ofs,dfs,sos
2010,BAYL,1.412,1.201,0.851,1.091
2009,DUKE,1.412,1.222,0.865,1.090
2012,WICS,1.411,1.210,0.858,1.066
1969,UCLA,1.410,1.174,0.833,1.033
2012,MIZZ,1.409,1.283,0.911,1.078
1993,UNC,1.408,1.227,0.872,1.057
2004,WISC,1.407,1.094,0.777,1.079
2006,VILL,1.407,1.196,0.850,1.091
2005,FLA,1.407,1.186,0.843,1.079
1951,KSU,1.406,1.215,0.864,1.052
2007,DUKE,1.406,1.126,0.801,1.105
2000,TUL,1.406,1.180,0.839,1.046
2006,KAN,1.405,1.168,0.831,1.073
2005,MICS,1.405,1.234,0.879,1.078
2010,TEX,1.405,1.269,0.903,1.092
2012,IND,1.405,1.269,0.903,1.096
2002,FLA,1.404,1.211,0.863,1.078
1988,ARIZ,1.404,1.186,0.844,1.037
2008,GTWN,1.403,1.096,0.781,1.079
1960,OSU,1.403,1.306,0.930,1.033
2008,LOU,1.401,1.145,0.817,1.084
2005,OKLA,1.400,1.174,0.839,1.082
1989,ARIZ,1.398,1.186,0.848,1.053
2009,WVIR,1.398,1.154,0.826,1.090
2010,MARY,1.398,1.261,0.902,1.090
1997,KAN,1.396,1.281,0.918,1.046
2003,ILL,1.395,1.177,0.844,1.071
1960,CIN,1.395,1.254,0.899,1.033
2005,KAN,1.395,1.207,0.865,1.100
2002,OKLA,1.394,1.160,0.833,1.074
1974,UCLA,1.394,1.137,0.816,1.041
2008,TEX,1.394,1.196,0.858,1.089
1998,CONN,1.394,1.172,0.841,1.077
1995,KEN,1.394,1.247,0.895,1.050
2004,GONZ,1.394,1.242,0.891,1.059
1955,SANF,1.394,1.028,0.738,1.040
2013,MIA,1.393,1.127,0.809,1.093
2005,KEN,1.392,1.165,0.837,1.083
2013,ARIZ,1.392,1.209,0.868,1.091
1999,UTAH,1.392,1.064,0.764,1.040
2012,MEM,1.391,1.210,0.870,1.080
2001,FLA,1.391,1.215,0.874,1.072
2000,OKST,1.390,1.152,0.829,1.066
2012,GTWN,1.389,1.105,0.796,1.086
2012,FLA,1.389,1.241,0.893,1.088
2011,SYRA,1.389,1.172,0.844,1.094
1999,CIN,1.389,1.139,0.820,1.075
2005,VILL,1.388,1.180,0.850,1.085
1962,CIN,1.388,1.053,0.759,1.034
1999,OSU,1.388,1.189,0.857,1.087
2006,MEM,1.387,1.244,0.897,1.067
2003,MARY,1.387,1.222,0.881,1.076
1998,PUR,1.387,1.278,0.921,1.088
1996,CONN,1.386,1.176,0.849,1.042
2004,CIN,1.384,1.201,0.867,1.074
2004,LOU,1.384,1.137,0.822,1.077
2011,LOU,1.384,1.172,0.846,1.094
1993,KEN,1.384,1.221,0.882,1.049
2013,CREI,1.383,1.209,0.874,1.080
2011,WASH,1.383,1.303,0.942,1.086
2012,SLU,1.383,1.093,0.791,1.068
2009,KAN,1.383,1.196,0.864,1.085
2007,MARY,1.383,1.241,0.898,1.088
2013,VCU,1.383,1.220,0.882,1.077
2012,NMEX,1.382,1.153,0.834,1.060
2003,LOU,1.382,1.283,0.928,1.076
2011,UNC,1.382,1.231,0.891,1.104
1998,STAN,1.382,1.194,0.864,1.076
2005,WAKE,1.382,1.313,0.950,1.088
1997,MINN,1.381,1.174,0.850,1.051
2008,TENN,1.381,1.275,0.923,1.081
2001,WAKE,1.379,1.156,0.839,1.089
2010,MIZZ,1.379,1.204,0.873,1.088
2011,CONN,1.378,1.173,0.851,1.105
2013,MINN,1.378,1.151,0.835,1.110
2006,UCLA,1.377,1.086,0.789,1.085
2012,BAYL,1.377,1.205,0.875,1.089
2008,STAN,1.377,1.127,0.819,1.085
2010,CLEM,1.377,1.176,0.854,1.096
2009,UCLA,1.377,1.212,0.880,1.082
2009,MICS,1.377,1.190,0.865,1.095
1998,UTAH,1.376,1.087,0.790,1.059
1986,UNC,1.376,1.299,0.944,1.050
2009,OKLA,1.376,1.235,0.898,1.083
2000,OKLA,1.376,1.131,0.822,1.069
2008,MARQ,1.375,1.184,0.861,1.077
1976,IND,1.375,1.129,0.821,1.046
2004,PIT,1.375,1.055,0.768,1.071
2004,KEN,1.375,1.163,0.846,1.086
1961,OSU,1.375,1.223,0.889,1.032
1998,MICS,1.375,1.142,0.830,1.089
2010,CAL,1.374,1.249,0.909,1.093
1998,XAVR,1.374,1.254,0.912,1.063
2011,BELM,1.373,1.212,0.883,1.027
2001,KAN,1.373,1.251,0.911,1.075
2010,PUR,1.373,1.132,0.825,1.093
1998,MICH,1.373,1.191,0.868,1.087
1960,CAL,1.373,1.002,0.730,1.041
2013,WICS,1.372,1.146,0.835,1.088
2000,ILL,1.372,1.167,0.850,1.083
2003,TEX,1.372,1.245,0.908,1.089
2011,NOTD,1.371,1.191,0.868,1.093
2000,LSU,1.371,1.145,0.835,1.068
2010,BUTL,1.369,1.099,0.803,1.081
2001,KEN,1.369,1.230,0.898,1.092
2008,DAVI,1.368,1.202,0.879,1.049
2011,UTST,1.368,1.095,0.801,1.052
1962,OSU,1.367,1.204,0.881,1.040
2013,GTWN,1.367,1.051,0.769,1.090
2007,AIRF,1.367,1.051,0.769,1.055
2003,MIST,1.367,1.087,0.795,1.084
2003,OKLA,1.367,1.093,0.799,1.086
2009,ARIS,1.367,1.104,0.808,1.085
2004,STAN,1.366,1.118,0.819,1.055
2002,IND,1.366,1.121,0.821,1.095
1999,TEMP,1.366,1.066,0.781,1.085
2008,XAVR,1.366,1.167,0.854,1.073
2004,UNC,1.365,1.283,0.940,1.108
2007,PIT,1.365,1.135,0.832,1.092
2012,MARQ,1.365,1.232,0.902,1.090
2006,ILL,1.365,1.115,0.817,1.073
2010,GTWN,1.365,1.181,0.865,1.100
2012,LOU,1.365,1.103,0.808,1.099
1984,UNC,1.365,1.230,0.901,1.051
2003,DUKE,1.365,1.242,0.910,1.080
2011,FLA,1.364,1.140,0.836,1.091
1956,SANF,1.364,1.031,0.756,0.998
2000,ARIZ,1.364,1.209,0.886,1.088
2007,BUTL,1.364,1.063,0.780,1.064
1989,MICH,1.364,1.256,0.921,1.061
1963,CIN,1.364,1.041,0.764,1.035
2004,TEX,1.363,1.178,0.864,1.089
2000,TENN,1.362,1.201,0.882,1.072
2005,WASH,1.362,1.337,0.982,1.075
1993,CIN,1.362,1.066,0.782,1.037
2006,UNC,1.362,1.254,0.920,1.087
2006,LSU,1.362,1.162,0.853,1.089
2007,MICS,1.362,1.058,0.777,1.094
2001,UNC,1.360,1.220,0.897,1.096
2003,FLA,1.360,1.167,0.858,1.081
2009,VILL,1.360,1.201,0.883,1.087
2010,XAVR,1.360,1.243,0.914,1.083
1991,UNC,1.360,1.231,0.906,1.054
2007,KEN,1.359,1.189,0.875,1.110
2010,FSU,1.359,1.085,0.798,1.092
2000,IAST,1.359,1.176,0.865,1.064
1988,OKLA,1.358,1.424,1.049,1.040
2000,KEN,1.358,1.084,0.798,1.100
1999,WISC,1.358,1.011,0.744,1.092
2011,ILL,1.358,1.163,0.856,1.110
2013,SLU,1.358,1.102,0.812,1.074
2003,WISC,1.358,1.090,0.803,1.070
1998,CLEM,1.357,1.131,0.834,1.097
2009,PUR,1.357,1.132,0.834,1.082
1997,DUKE,1.357,1.223,0.901,1.061
2002,ILL,1.357,1.186,0.874,1.083
1998,MISS,1.357,1.209,0.891,1.064
2010,TXAM,1.357,1.141,0.841,1.100
2000,IND,1.357,1.215,0.895,1.089
2004,MIST,1.356,1.204,0.888,1.074
2007,IND,1.356,1.157,0.853,1.093
1989,DUKE,1.355,1.189,0.878,1.042
2009,SYRA,1.355,1.261,0.931,1.094
2013,OKST,1.355,1.156,0.853,1.083
2004,NCST,1.355,1.140,0.842,1.098
2002,MARQ,1.355,1.103,0.814,1.059
1998,CIN,1.355,1.139,0.840,1.062
2010,UTST,1.355,1.101,0.812,1.053
2005,CONN,1.355,1.222,0.902,1.080
2012,DUKE,1.354,1.248,0.921,1.093
2007,VILL,1.354,1.160,0.857,1.091
2007,NOTD,1.354,1.272,0.939,1.068
2011,ARIZ,1.354,1.205,0.890,1.089
1998,MARY,1.354,1.225,0.904,1.107
2007,GEOT,1.353,1.216,0.899,1.090
2003,SYRA,1.353,1.239,0.915,1.088
2010,MICS,1.353,1.160,0.857,1.092
2002,ORE,1.353,1.256,0.928,1.064
2008,CLEM,1.353,1.200,0.887,1.081
1997,WAKE,1.352,1.084,0.801,1.066
2011,UNLV,1.352,1.151,0.851,1.085
1999,UNC,1.351,1.120,0.829,1.094
2010,MINN,1.351,1.155,0.855,1.090
2002,KEN,1.351,1.170,0.866,1.096
2008,WVIR,1.351,1.143,0.846,1.073
2007,SIU,1.351,1.030,0.762,1.085
2013,COLS,1.351,1.195,0.884,1.080
2005,ALA,1.350,1.173,0.869,1.073
2009,WASH,1.350,1.260,0.933,1.086
2012,VAND,1.349,1.178,0.873,1.093
2009,CLEM,1.349,1.231,0.912,1.072
2010,GEOT,1.349,1.169,0.867,1.096
1995,UMAS,1.349,1.176,0.871,1.046
2011,CIN,1.348,1.094,0.811,1.078
2013,STMA,1.348,1.184,0.878,1.068
1993,IND,1.348,1.243,0.922,1.059
2008,MICS,1.348,1.140,0.845,1.088
1997,UNC,1.347,1.216,0.902,1.076
1985,GTWN,1.347,1.105,0.820,1.039
1979,MICS,1.347,1.108,0.822,1.057
2004,WAKE,1.347,1.306,0.970,1.101
2004,KAN,1.347,1.193,0.886,1.088
2006,PIT,1.346,1.135,0.843,1.081
2008,KSU,1.346,1.228,0.912,1.082
1992,KAN,1.346,1.202,0.893,1.050
2000,OSU,1.346,1.121,0.833,1.068
2005,WISC,1.345,1.093,0.813,1.090
2008,GONZ,1.345,1.175,0.874,1.057
2013,MIZZ,1.345,1.217,0.905,1.083
2010,TENN,1.344,1.155,0.859,1.092
2003,NOTD,1.344,1.225,0.911,1.091
1986,KAN,1.344,1.214,0.903,1.059
2010,VILL,1.343,1.288,0.960,1.088
2005,GEOT,1.343,1.166,0.868,1.090
2004,ILL,1.343,1.152,0.858,1.075
1992,OSU,1.343,1.163,0.866,1.056
2013,KSU,1.343,1.118,0.832,1.080
1982,ORST,1.343,1.071,0.798,1.032
2011,WVIR,1.343,1.129,0.840,1.109
2000,SYRA,1.343,1.172,0.873,1.069
2005,CIN,1.342,1.181,0.880,1.068
1996,UMAS,1.342,1.122,0.837,1.048
2003,SJOE,1.342,1.073,0.800,1.056
2008,TXAM,1.341,1.103,0.822,1.083
2010,ODU,1.341,1.056,0.787,1.062
2000,GONZ,1.341,1.201,0.896,1.063
1991,KAN,1.340,1.143,0.852,1.058
2008,DRAK,1.340,1.161,0.867,1.055
2007,ORE,1.340,1.203,0.898,1.078
2013,NMEX,1.339,1.118,0.836,1.093
2013,IOWA,1.339,1.166,0.871,1.088
2007,TEX,1.338,1.244,0.930,1.078
2010,TEMP,1.338,1.017,0.760,1.072
2009,XAVR,1.338,1.145,0.855,1.070
1990,KAN,1.338,1.228,0.918,1.042
2006,WASH,1.338,1.284,0.959,1.071
2001,BOSC,1.337,1.188,0.889,1.058
2004,MARY,1.337,1.202,0.899,1.104
2009,BYU,1.337,1.219,0.912,1.059
2012,GONZ,1.336,1.160,0.869,1.068
2000,MARY,1.336,1.194,0.894,1.086
1991,DUKE,1.336,1.199,0.897,1.053
1992,DUKE,1.336,1.237,0.926,1.053
2012,BELM,1.335,1.240,0.929,1.046
2011,VAND,1.335,1.207,0.905,1.087
2011,GEOM,1.335,1.150,0.861,1.058
2011,MARY,1.335,1.199,0.898,1.080
1982,UNC,1.335,1.100,0.824,1.052
2009,WAKE,1.335,1.244,0.932,1.072
2013,BAYL,1.334,1.207,0.905,1.078
2005,UTST,1.334,1.106,0.829,1.034
2011,VILL,1.334,1.165,0.874,1.090
1998,IOWA,1.334,1.199,0.899,1.058
1993,DUKE,1.334,1.199,0.899,1.054
2010,MARQ,1.333,1.131,0.849,1.084
2006,OSU,1.333,1.157,0.868,1.075
2013,MISS,1.333,1.239,0.929,1.070
2005,ARIZ,1.333,1.228,0.922,1.078
2004,NEV,1.333,1.183,0.888,1.071
1974,MARY,1.333,1.166,0.875,1.037
2013,IAST,1.333,1.276,0.958,1.083
2009,MARQ,1.332,1.230,0.924,1.079
1991,ARKA,1.332,1.352,1.015,1.043
1957,KAN,1.331,1.094,0.822,1.046
2001,VIRG,1.331,1.254,0.942,1.078
2000,CONN,1.331,1.151,0.865,1.075
1986,GEOT,1.331,1.156,0.869,1.069
2007,WVIR,1.331,1.125,0.845,1.066
1995,OKST,1.331,1.099,0.825,1.055
2012,CAL,1.331,1.146,0.861,1.068
1999,MIA,1.331,1.136,0.853,1.084
1974,NCST,1.331,1.263,0.948,1.048
2000,WISC,1.331,0.978,0.735,1.102
2011,CLEM,1.331,1.096,0.824,1.085
2013,SDST,1.331,1.128,0.847,1.079
2008,IND,1.330,1.186,0.891,1.077
2013,UNC,1.330,1.245,0.936,1.090
2007,CLEM,1.330,1.152,0.866,1.090
2007,ILL,1.330,1.038,0.780,1.086
1998,TCU,1.330,1.363,1.025,1.042
1986,DUKE,1.329,1.237,0.931,1.055
2006,GTWN,1.329,1.059,0.797,1.080
1999,KAN,1.329,1.142,0.859,1.084
2010,WASH,1.329,1.243,0.935,1.086
2007,MIST,1.328,1.203,0.906,1.084
2005,SYRA,1.328,1.177,0.886,1.073
1999,GONZ,1.328,1.190,0.896,1.044
1956,DAYT,1.328,1.078,0.812,1.026
2003,MARQ,1.328,1.213,0.914,1.080
2007,VIRT,1.328,1.113,0.838,1.085
2010,VAND,1.327,1.204,0.908,1.087
2003,MICS,1.327,1.068,0.805,1.088
2003,GEOR,1.327,1.240,0.934,1.102
2013,ORE,1.327,1.153,0.869,1.079
2010,MURR,1.326,1.134,0.856,1.024
2011,WICS,1.326,1.150,0.868,1.058
2000,UNC,1.326,1.184,0.893,1.099
1982,GTWN,1.326,1.033,0.780,1.037
1996,CIN,1.325,1.183,0.893,1.043
2013,VIRG,1.325,1.030,0.777,1.071
2007,LOU,1.325,1.121,0.845,1.084
2012,KSU,1.325,1.153,0.870,1.088
2009,TEX,1.325,1.138,0.859,1.087
2008,BUTL,1.325,1.080,0.815,1.056
2012,TEX,1.325,1.160,0.875,1.093
2005,UTAH,1.324,1.049,0.792,1.057
2003,XAVR,1.324,1.174,0.886,1.062
2012,PUR,1.324,1.178,0.889,1.094
1987,UNC,1.324,1.291,0.975,1.047
2013,MTEN,1.324,1.101,0.832,1.045
2009,GTWN,1.324,1.104,0.834,1.092
2012,FSU,1.324,1.123,0.848,1.089
2003,CREI,1.324,1.193,0.901,1.045
2004,VAND,1.324,1.144,0.864,1.083
2011,GONZ,1.324,1.171,0.884,1.063
1983,HOU,1.323,1.238,0.936,1.026
2006,WVIR,1.323,1.132,0.855,1.083
1972,UNC,1.323,1.232,0.931,1.030
1958,CIN,1.323,1.270,0.960,1.022
2007,PUR,1.323,1.138,0.860,1.090
2013,BELM,1.322,1.180,0.892,1.050
1983,VIRG,1.322,1.225,0.926,1.044
2006,IOWA,1.322,1.044,0.790,1.079
2013,MARQ,1.322,1.145,0.866,1.099
2010,PIT,1.322,1.067,0.807,1.088
2012,ALA,1.321,1.047,0.793,1.085
2013,UNLV,1.321,1.155,0.874,1.081
2006,ARIZ,1.321,1.186,0.897,1.095
2009,ILL,1.321,1.051,0.795,1.080
2007,CREI,1.321,1.100,0.833,1.083
2007,WINT,1.320,1.088,0.824,1.034
2007,MOST,1.320,1.182,0.896,1.078
2002,NOTD,1.320,1.190,0.902,1.064
2012,VIRG,1.320,0.996,0.754,1.067
1992,ARIZ,1.320,1.196,0.906,1.040
1984,KEN,1.320,1.050,0.796,1.055
1990,OKLA,1.320,1.282,0.971,1.037
1988,DUKE,1.320,1.188,0.900,1.046
1999,MISS,1.320,1.178,0.892,1.073
2003,LSU,1.320,1.136,0.861,1.075
2010,DAYT,1.319,1.093,0.829,1.077
2007,AKRO,1.319,1.139,0.863,1.029
2001,IND,1.319,1.109,0.840,1.092
2003,WAKE,1.319,1.186,0.899,1.073
2010,UNI,1.319,1.009,0.765,1.065
1994,CONN,1.319,1.173,0.889,1.034
2011,KSU,1.319,1.163,0.882,1.094
1986,KEN,1.319,1.122,0.850,1.050
1998,PRIN,1.319,1.001,0.759,1.017
2004,XAVR,1.318,1.110,0.842,1.073
2000,BUTL,1.318,1.024,0.777,1.035
2006,GEOM,1.318,1.077,0.817,1.059
1999,SYRA,1.318,1.120,0.849,1.069
2013,CIN,1.318,1.090,0.827,1.088
2011,MIZZ,1.318,1.255,0.952,1.080
2007,XAVR,1.317,1.196,0.908,1.063
1981,IND,1.317,1.057,0.803,1.052
1977,KEN,1.317,1.149,0.873,1.039
2008,PIT,1.317,1.153,0.875,1.078
2002,SCAR,1.317,1.049,0.797,1.085
2008,NMEX,1.317,1.119,0.850,1.050
1999,IND,1.317,1.200,0.911,1.099
2000,KAN,1.317,1.210,0.919,1.085
2001,TEMP,1.317,1.084,0.823,1.086
2011,VIRT,1.316,1.105,0.840,1.081
2010,UTEP,1.316,1.144,0.870,1.062
1967,PRIN,1.316,1.010,0.768,1.001
1992,CIN,1.316,1.115,0.847,1.032
2007,ARIZ,1.316,1.249,0.949,1.101
2002,STAN,1.315,1.206,0.917,1.079
2002,GONZ,1.315,1.174,0.892,1.033
2001,UCLA,1.315,1.219,0.927,1.100
2010,VIRT,1.314,1.119,0.851,1.077
2010,STMA,1.314,1.199,0.913,1.056
2005,NCST,1.314,1.137,0.866,1.087
2011,MARQ,1.314,1.196,0.910,1.094
2010,SDST,1.314,1.103,0.840,1.064
2012,STMA,1.314,1.149,0.875,1.050
2006,ARKA,1.314,1.151,0.876,1.074
