year,name,str
1950,Kansas State,1.286
1951,Kentucky,1.431
1952,Kentucky,1.463
1953,Indiana,1.267
1954,Kentucky,1.412
1955,San Francisco,1.394
1956,San Francisco,1.364
1957,Kansas,1.331
1958,Cincinnati,1.323
1959,California,1.275
1960,Ohio State,1.403
1961,Ohio State,1.375
1962,Cincinnati,1.388
1963,Cincinnati,1.364
1964,UCLA,1.300
1965,UCLA,1.302
1966,Saint Joseph's,1.298
1967,UCLA,1.420
1968,UCLA,1.439
1969,UCLA,1.410
1970,South Carolina,1.310
1971,UCLA,1.272
1972,UCLA,1.492
1973,UCLA,1.440
1974,UCLA,1.394
1975,Indiana,1.424
1976,Indiana,1.375
1977,Kentucky,1.317
1978,UCLA,1.309
1979,Michigan State,1.347
1980,Iowa,1.249
1981,Indiana,1.317
1982,Oregon State,1.343
1983,Houston,1.323
1984,North Carolina,1.365
1985,Georgetown,1.347
1986,North Carolina,1.376
1987,North Carolina,1.324
1988,Arizona,1.404
1989,Arizona,1.398
1990,Kansas,1.338
1991,Nevada-Las Vegas,1.451
1992,Indiana,1.440
1993,North Carolina,1.408
1994,UConn,1.319
1995,Kentucky,1.394
1996,Kentucky,1.472
1997,Kentucky,1.474
1998,Duke,1.591
1999,Duke,1.644
2000,Michigan State,1.517
2001,Duke,1.573
2002,Duke,1.526
2003,Kansas,1.474
2004,Duke,1.503
2005,North Carolina,1.519
2006,Texas,1.469
2007,North Carolina,1.520
2008,Kansas,1.554
2009,North Carolina,1.481
2010,Duke,1.558
2011,Ohio State,1.555
2012,Ohio State,1.534
2013,Florida,1.577
